kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0197   0x0195   0x000b6e86 GetConsoleAliasExesW
    0x0198   0x0196   0x000b6d83 GetConsoleAliasW
    0x0199   0x0197   0x000b6e68 GetConsoleAliasesA
    0x019a   0x0198   0x000b6e18 GetConsoleAliasesLengthA
    0x019b   0x0199   0x000b6e00 GetConsoleAliasesLengthW
    0x019c   0x019a   0x000b6e4a GetConsoleAliasesW
    0x019d   0x019b   0x000b83d7 GetConsoleCP
    0x019e   0x019c   0x000b8791 GetConsoleCharType
    0x019f   0x019d   0x000b6f70 GetConsoleCommandHistoryA
    0x01a0   0x019e   0x000b6f3a GetConsoleCommandHistoryLengthA
    0x01a1   0x019f   0x000b6f22 GetConsoleCommandHistoryLengthW
    0x01a2   0x01a0   0x000b6f52 GetConsoleCommandHistoryW
    0x01a3   0x01a1   0x000b8157 GetConsoleCursorInfo
    0x01a4   0x01a2   0x000b87f1 GetConsoleCursorMode
    0x01a5   0x01a3   0x000b8573 GetConsoleDisplayMode
    0x01a6   0x01a4   0x000b81b7 GetConsoleFontInfo
    0x01a7   0x01a5   0x000b81d7 GetConsoleFontSize
    0x01a8   0x01a6   0x000b8533 GetConsoleHardwareState
    0x01a9   0x01a7   0x000b8099 GetConsoleHistoryInfo
    0x01aa   0x01a8   0x000b7179 GetConsoleInputExeNameA
    0x01ab   0x01a9   0x000b70e1 GetConsoleInputExeNameW
    0x01ac   0x01aa   0x000b79f5 GetConsoleInputWaitHandle
    0x01ad   0x01ab   0x000b7c7e GetConsoleKeyboardLayoutNameA
    0x01ae   0x01ac   0x000b7c98 GetConsoleKeyboardLayoutNameW
    0x01af   0x01ad   0x00011328 GetConsoleMode
    0x01b0   0x01ae   0x000b8851 GetConsoleNlsMode
    0x01b1   0x01af   0x000b6f8e GetConsoleOriginalTitleA
    0x01b2   0x01b0   0x000b6fab GetConsoleOriginalTitleW
    0x01b3   0x01b1   0x00029aff GetConsoleOutputCP
